Timestamp,DeviceName,ActionType,FileName,FolderPath,SHA256,Account
"May 20, 2025 12:23:00 PM",massandr-new-vm,FileCreated,SharedStorage-wal,C:\Users\massadmin\AppData\Local\Microsoft\Edge\User Data\Default\SharedStorage-wal,,massadmin
"May 20, 2025 12:22:59 PM",massandr-new-vm,FileCreated,EdgePushStorageWithConnectTokens,C:\Users\massadmin\AppData\Local\Microsoft\Edge\User Data\Default\EdgePushStorageWithConnectTokens,,massadmin
"May 20, 2025 12:22:59 PM",massandr-new-vm,FileModified,History,C:\Users\massadmin\AppData\Local\Microsoft\Edge\User Data\Default\History,,massadmin
"May 20, 2025 12:22:59 PM",massandr-new-vm,FileModified,History-journal,C:\Users\massadmin\AppData\Local\Microsoft\Edge\User Data\Default\History-journal,,massadmin
"May 20, 2025 11:32:51 AM",massandr-new-vm,FileModified,storage.sqlite,C:\Users\massadmin\Desktop\Tor Browser\Browser\TorBrowser\Data\Browser\profile.default\storage.sqlite,2acdf0e4a4b59f3a154fb6cc4331b62495bd386642de5007f65d70b92af4992d,massadmin
"May 20, 2025 11:29:22 AM",massandr-new-vm,FileRenamed,wtb-tor.txt,C:\Users\massadmin\Desktop\wtb-tor.txt,23c52003c3980abaf519f63b1d248339f5fea10451206013acef5ccb738ce64c,massadmin
"May 20, 2025 11:25:17 AM",massandr-new-vm,FileModified,edge_tracking_page_validator.js,C:\Windows\SystemTemp\chrome_Unpacker_BeginUnzipping6964_1328599806\edge_tracking_page_validator.js,,massadmin
"May 20, 2025 11:25:17 AM",massandr-new-vm,FileModified,edge_confirmation_page_validator.js,C:\Windows\SystemTemp\chrome_Unpacker_BeginUnzipping6964_1328599806\edge_confirmation_page_validator.js,,massadmin
"May 20, 2025 11:25:17 AM",massandr-new-vm,FileModified,edge_checkout_page_validator.js,C:\Windows\SystemTemp\chrome_Unpacker_BeginUnzipping6964_1328599806\edge_checkout_page_validator.js,,massadmin
"May 20, 2025 11:24:11 AM",massandr-new-vm,FileCreated,sv_FRE_Tutorial_Share.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\lightTheme\sv_FRE_Tutorial_Share.js,5878da6be0244173446abf576516640cbd9efa6fcda21ae6de55e3e17e896753,massadmin
"May 20, 2025 11:24:11 AM",massandr-new-vm,FileCreated,sv_FRE_Tutorial_Intro.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\lightTheme\sv_FRE_Tutorial_Intro.js,07d8fc75624d82b39bc8e121b74bff60f2e07bebd4253ab6576d46642bd0c7c5,massadmin
"May 20, 2025 11:24:11 AM",massandr-new-vm,FileCreated,mac_FRE_Tutorial_Share.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\lightTheme\mac_FRE_Tutorial_Share.js,f44beee05630cdec991c3728117d154a608db281a9cfc689f878229fd3c5fa0b,massadmin
"May 20, 2025 11:24:11 AM",massandr-new-vm,FileCreated,mac_FRE_Tutorial_Intro.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\lightTheme\mac_FRE_Tutorial_Intro.js,3e28183f232308d342a1587c9f58df623a1e79d2a6c6d28712257273bef1fd8a,massadmin
"May 20, 2025 11:24:11 AM",massandr-new-vm,FileCreated,FRE_Tutorial_Share.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\lightTheme\FRE_Tutorial_Share.js,373d4f4b213faf3f30f665263df8d8d5b3efeb85814b4e3b8f53e27207867b8a,massadmin
"May 20, 2025 11:24:10 AM",massandr-new-vm,FileCreated,FRE_Tutorial_Mobile.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\lightTheme\FRE_Tutorial_Mobile.js,c34dc963c259947db03273249f93cf4dbf7c3a8345cf3edaa18d520fb12a63c0,massadmin
"May 20, 2025 11:24:09 AM",massandr-new-vm,FileCreated,FRE_Tutorial_Intro.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\lightTheme\FRE_Tutorial_Intro.js,dce5d7c27bdd0ffac3e1e0ae6b92325657da5c60f96b751b6738ef3aa3582648,massadmin
"May 20, 2025 11:24:08 AM",massandr-new-vm,FileCreated,sv_FRE_Tutorial_Share.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\darkTheme\sv_FRE_Tutorial_Share.js,c13b3383d59f7c16bfcc4b1f64f57f3a931a764fe3d96344de9de84f4abb2a7c,massadmin
"May 20, 2025 11:24:08 AM",massandr-new-vm,FileCreated,sv_FRE_Tutorial_Intro.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\darkTheme\sv_FRE_Tutorial_Intro.js,869cd49de76187a1aa3c47d3f95c5714064d9c23241af52a45b425455ef64efc,massadmin
"May 20, 2025 11:24:07 AM",massandr-new-vm,FileCreated,manageStorage.svg,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\darkTheme\manageStorage.svg,54808ff34f98cd555a200a9228f82952127d4e918695b3d97e3b997c03b42832,massadmin
"May 20, 2025 11:24:07 AM",massandr-new-vm,FileCreated,mac_FRE_Tutorial_Share.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\darkTheme\mac_FRE_Tutorial_Share.js,497fabf40de6beea42440b3a3624161f8ab229919271e703d974085c3ca474f4,massadmin
"May 20, 2025 11:24:07 AM",massandr-new-vm,FileCreated,mac_FRE_Tutorial_Intro.js,C:\Users\massadmin\AppData\Local\Microsoft\OneDrive\25.075.0420.0002\images\darkTheme\mac_FRE_Tutorial_Intro.js,5042e798fb3458043d53366391545c0f0e2fa229eebaae70c6c19d717d6aab6c,massadmin
